rank,pain_score,company,domain,integration_opportunity,axis1_key_integration,axis2_complexity,sor_hits,jobs_pain_score,integration_jobs,integration_job_titles,silo_jobs,silo_job_titles,ats,has_full_time_cto,leadership_count,tech_count,total_employees,technical_ratio,funding_range,industry,why_i_believed,opener
1,20.0,Spiro.AI,spiro.ai,ERP integration (NetSuite/SAP/Dynamics),5,2,netsuite|sap|erp integration,5,12,"Account Manager | Billing & Revenue Specialist | Customer Success & Account Manager | Customer Success Manager | Director, Human Resources | Director of Enterprise Data & Platform Architecture | Division Finance Manager | Implementation Specialist | Integration Specialist | Marketing Campaign Manage",4,Account Manager | Billing & Revenue Specialist | Operations Manager | Sales Director,greenhouse,yes,1,10,25,0.4,Under $1M,Software Development,"depends on netsuite, sap, erp integration; hiring 12 integration/API role(s) (Account Manager | Billing & Revenue Specialist | Customer Success & Account Mana); 4 ops/data-entry role(s) = silo pain; 10 technical of ~25 staff (ratio 0.4)","Hi there, I work as a fractional CTO on exactly your situation — Spiro.AI where you're hiring for integration work. I led ERP integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
2,19.0,Placements.io,placements.io,Salesforce integration,3,2,salesforce,5,4,Intermediate Backend Software Engineer | Solutions Consultant,3,Solutions Consultant,greenhouse,no,0,6,60,0.1,$1M - $5M,Software Development,depends on salesforce; hiring 4 integration/API role(s) (Intermediate Backend Software Engineer | Solutions Consultant); 3 ops/data-entry role(s) = silo pain; no full-time CTO detected; 6 technical of ~60 staff (ratio 0.1),"Hi there, I work as a fractional CTO on exactly your situation — Placements.io where you've got engineers but no full-time technical lead and you're hiring for integration work. I led Salesforce integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
3,19.0,Reachdesk,reachdesk.com,Salesforce integration,3,2,salesforce,5,10,Business Insights Analyst | Head of Business Systems & Operations | Sourcing Manager (Promotional Merchandise),3,Head of Business Systems & Operations,greenhouse,no,1,2,121,0.017,$25M - $50M,Software Development,depends on salesforce; hiring 10 integration/API role(s) (Business Insights Analyst | Head of Business Systems & Operations | Sourcing Man); 3 ops/data-entry role(s) = silo pain; no full-time CTO detected; 2 technical of ~121 staff (ratio 0.017),"Hi there, I work as a fractional CTO on exactly your situation — Reachdesk where you've got engineers but no full-time technical lead and you're hiring for integration work. I led Salesforce integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
4,17.5,Typeface,trytreat.ai,Salesforce integration,3,1,salesforce,5,23,Business Development Representative  | Engagement Manager  | Enterprise Account Executive | Enterprise Account Executive  | Principal ML Engineer | Principal Software Engineer | Senior Content Marketing Manager  | Senior Product Manager | Senior Product Manager-Ads | Senior Product Marketing Manager,0,,greenhouse,no,0,30,278,0.108,$10M - $25M,Software Development,depends on salesforce; hiring 23 integration/API role(s) (Business Development Representative  | Engagement Manager  | Enterprise Account ); no full-time CTO detected; 30 technical of ~278 staff (ratio 0.108),"Hi there, I work as a fractional CTO on exactly your situation — Typeface where you've got engineers but no full-time technical lead and you're hiring for integration work. I led Salesforce integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
5,17.5,Streamlit,streamlit.io,data-warehouse integration (Snowflake/Databricks),3,1,snowflake,5,11,"Solutions Engineer | Senior Cloud Support Engineer, SQL - US Public Sector | Senior Data Engineer | Snowflake Data Engineer | Sr. Integrations Developer, Workday HCM | Principal Solutions Engineer Enablement Manager | Software Engineer – Engineering Systems Continuous Integrati | Cloud Partner Solut",1,"Director, Sales Operations Go-to-Market Planning",ashby,no,0,2,34,0.059,$25M - $50M,Software Development,"depends on snowflake; hiring 11 integration/API role(s) (Solutions Engineer | Senior Cloud Support Engineer, SQL - US Public Sector | Sen); 1 ops/data-entry role(s) = silo pain; no full-time CTO detected; 2 technical of ~34 staff (ratio 0.059)","Hi there, I work as a fractional CTO on exactly your situation — Streamlit where you've got engineers but no full-time technical lead and you're hiring for integration work. I led data-warehouse integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
6,16.0,Zus Health,zushealth.com,EHR/clinical-data integration (Epic/athena/HL7-FHIR),3,2,interoperability,5,7,"Data Acquisition Software Engineering Co-op | Director of Sales Engineering and Solution Design | Director, Solutions & Forward Deployed Engineering | Future Zusers | Head of Marketing | Staff Full Stack Engineer | Staff Integrations Engineer",0,,lever,yes,3,40,88,0.455,$25M - $50M,Software Development,depends on interoperability; hiring 7 integration/API role(s) (Data Acquisition Software Engineering Co-op | Director of Sales Engineering and ); 40 technical of ~88 staff (ratio 0.455),"Hi there, I work as a fractional CTO on exactly your situation — Zus Health where you're hiring for integration work. I led EHR/clinical-data integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
7,16.0,Spin.AI,spin.ai,Salesforce integration,3,0,salesforce,5,5,"Business Development Representative (BDR) - Full-Time | Front-end Engineer | Java Developer | Product Manager (Lisbon, Portugal) | Sales Operations Manager (Los Angeles, CA)",1,"Sales Operations Manager (Los Angeles, CA)",lever,no,0,20,91,0.22,$10M - $25M,Security and Investigations,depends on salesforce; hiring 5 integration/API role(s) (Business Development Representative (BDR) - Full-Time | Front-end Engineer | Jav); 1 ops/data-entry role(s) = silo pain; no full-time CTO detected; 20 technical of ~91 staff (ratio 0.22),"Hi there, I work as a fractional CTO on exactly your situation — Spin.AI where you've got engineers but no full-time technical lead and you're hiring for integration work. I led Salesforce integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
8,15.5,"Elevate HR, Inc.",elevate-hr.com,Workday/HRIS integration,4,3,workday|dynamics 365|microsoft dynamics,0,0,,0,,,no,0,2,21,0.095,$1M - $5M,Software Development,"depends on workday, dynamics 365, microsoft dynamics; multi-platform / high integration surface; no full-time CTO detected; 2 technical of ~21 staff (ratio 0.095)","Hi there, I work as a fractional CTO on exactly your situation — Elevate HR, Inc. where you've got engineers but no full-time technical lead and Workday/HRIS integration looks central to your growth. I led Workday/HRIS integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
9,15.0,Cube,statsbot.co,data-warehouse integration (Snowflake/Databricks),3,3,databricks,1,1,Data Engineer ,0,,ashby,no,0,6,47,0.128,$1M - $5M,Software Development,depends on databricks; multi-platform / high integration surface; hiring 1 integration/API role(s) (Data Engineer ); no full-time CTO detected; 6 technical of ~47 staff (ratio 0.128),"Hi there, I work as a fractional CTO on exactly your situation — Cube where you've got engineers but no full-time technical lead and you're hiring for integration work. I led data-warehouse integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
10,14.5,Litify,litify.com,Salesforce integration,3,1,salesforce,5,8,AI QA Engineer | Salesforce Consultant (LSAP) | Senior Project Manager | Senior QA Automation Engineer | Senior Software Engineer (AI) | Senior Solution Engineer (Salesforce) | Senior UX Designer | Support Engineer – Tier 1 (Salesforce Certified),0,,greenhouse,yes,5,60,170,0.353,$10M - $25M,Software Development,depends on salesforce; hiring 8 integration/API role(s) (AI QA Engineer | Salesforce Consultant (LSAP) | Senior Project Manager | Senior ); 60 technical of ~170 staff (ratio 0.353),"Hi there, I work as a fractional CTO on exactly your situation — Litify where you're hiring for integration work. I led Salesforce integration work at Veeva for a decade; I'd love to show how I'd ship it without stalling your roadmap."
