company_name,domain,role_bucket,full_name,first_name,last_name,title,headline,location,linkedin_url,company_linkedin_url
"Afero, Inc.",afero.io,decision_maker,Shin Matsumura,Shin,Matsumura,Co-founder & Board Member,,"{'city': 'Los Altos', 'state_code': 'CA', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/shinmatsumura,https://www.linkedin.com/company/afero
"Afero, Inc.",afero.io,decision_maker,Preethi Narayanan,Preethi,Narayanan,Senior Vice President of Engineering,"SVP Engineering - Seasoned engineering executive with proven record of building teams at scale, Board member","{'city': 'Cupertino', 'state_code': 'CA', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/preethipn,https://www.linkedin.com/company/afero
"Afero, Inc.",afero.io,tech_product,Dilip Kenchammana,Dilip,Kenchammana,Chief Product and Partnerships Officer,Chief Product & Partnerships Officer @ Afero | Building Global Products | ex-Disney/Netflix/Microsoft,"{'city': None, 'state_code': None, 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/dilipken,https://www.linkedin.com/company/afero
"Afero, Inc.",afero.io,tech_product,Ani Deglurkar,Ani,Deglurkar,Director of Software Engineering,Director of Software Development - Enterprise Software | Cloud | PaaS | Big Data Analytics | Machine Learning | IoT | B2B,"{'city': None, 'state_code': None, 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/ani-deglurkar-1401a,https://www.linkedin.com/company/afero
Sunday Robotics,sunday.ai,decision_maker,Cheng,Cheng,,Co-founder & CTO,Co-founder & CTO of Sunday Robotics,"{'city': None, 'state_code': None, 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/cheng-chi-3760a3117,https://www.linkedin.com/company/sundayrobotics
Sunday Robotics,sunday.ai,decision_maker,Daniel Kellogg,Daniel,Kellogg,Founder,"Experienced operations professional skilled in building and maintaining reliable systems that drive organizational success, with expertise in managing diverse teams and projects.","{'city': 'Las Vegas', 'state_code': 'NV', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/daniel-kellogg-02307748,https://www.linkedin.com/company/sundayrobotics
Sunday Robotics,sunday.ai,tech_product,Camilla Guo,Camilla,Guo,Head of Product,Head of Product at Sunday,"{'city': 'Mountain View', 'state_code': 'CA', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/camilla-guo-263ab97a,https://www.linkedin.com/company/sundayrobotics
Sandbar,sandbar.com,decision_maker,Sam Bowen,Sam,Bowen,Vice President Hardware,Building and leading high performance engineering teams.,"{'city': None, 'state_code': 'NY', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/bowenuk,https://www.linkedin.com/company/sandbarinc
BrightAI Corporation,bright.ai,decision_maker,Brett Worthington,Brett,Worthington,Executive Vice President,Strategic leader I Senior Executive I Investor I Co-Founder I Non-Profit Board Member,"{'city': None, 'state_code': None, 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/brett-worthington-71195511,https://www.linkedin.com/company/brightai
BrightAI Corporation,bright.ai,decision_maker,Alex Hawkinson,Alex,Hawkinson,Founder & CEO,Keep building.,"{'city': None, 'state_code': None, 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/ahawkinson,https://www.linkedin.com/company/brightai
BrightAI Corporation,bright.ai,tech_product,Patrick Nelsen,Patrick,Nelsen,Director of Engineering,,"{'city': 'Minneapolis', 'state_code': 'MN', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/patrick-nelsen-a6230033,https://www.linkedin.com/company/brightai
BrightAI Corporation,bright.ai,tech_product,Jeff Spurgat,Jeff,Spurgat,"Director of Engineering, Edge",Mobile | Wearables | AI,"{'city': 'San Francisco', 'state_code': 'CA', 'country_code': 'US', 'continent': 'North America'}",https://www.linkedin.com/in/jeffspurgat,https://www.linkedin.com/company/brightai
